N,runtime
795,24.709
796,24.703
797,24.702
798,24.743
799,24.731
800,24.736
801,24.753
802,24.85
803,24.843
804,24.83
805,24.882
806,24.869
807,24.884
808,24.883
809,24.876
810,24.931
811,24.937
812,24.936
813,24.955
814,24.96
815,24.953
816,24.956
817,24.995
818,24.975
819,25.081
820,24.986
821,25.02
822,25.022
823,25.058
824,25.086
825,25.097
826,25.073
827,25.103
828,25.114
829,25.128
830,25.167
831,25.113
832,25.144
833,25.175
834,25.158
835,25.152
836,25.193
837,25.199
838,25.239
839,25.231
840,25.246
841,25.281
842,25.259
843,25.241
844,25.287
845,25.291
846,25.313
847,25.34
848,25.393
849,25.402
850,25.41
851,25.433
852,25.445
853,25.456
854,25.502
855,25.448
856,25.478
857,25.49
858,25.479
859,25.498
860,25.515
861,25.514
862,25.532
863,25.574
864,25.596
865,25.571
866,25.582
867,25.597
868,25.604
869,25.641
870,25.652
871,25.631
872,25.648
873,25.672
874,25.64
875,25.675
876,25.683
877,25.696
878,25.715
879,25.708
880,25.719
881,25.73
882,25.755
883,25.745
884,25.764
885,25.764
886,25.787
887,25.784
888,25.791
889,25.816
890,25.809
891,25.838
892,25.828
893,25.82
894,25.852
895,25.895
896,25.887
897,25.915
898,25.922
899,25.92
900,25.961
901,25.954
902,25.967
903,25.95
904,26
905,26.027
906,26.039
907,26.034
908,26.197
909,26.199
910,26.194
911,26.221
912,26.249
913,26.234
914,26.26
915,26.248
916,26.289
917,26.279
918,26.286
919,26.337
920,26.301
921,26.311
922,26.326
923,26.355
924,26.387
925,26.342
926,26.379
927,26.411
928,26.379
929,26.419
930,26.403
931,26.415
932,26.422
933,26.438
934,26.475
935,26.489
936,26.492
937,26.501
938,26.487
939,26.495
940,26.578
941,26.542
942,26.563
943,26.569
944,26.616
945,26.58
946,26.596
947,26.621
948,26.635
949,26.642
950,26.596
951,26.678
952,26.673
953,26.686
954,26.709
955,26.684
956,26.722
957,26.72
958,26.744
959,26.785
960,26.76
961,26.791
962,26.823
963,26.807
964,26.829
965,26.867
966,26.877
967,26.843
968,26.902
969,26.897
970,26.897
971,26.937
972,26.948
973,26.973
974,26.938
975,26.948
976,26.961
977,27.004
978,26.966
979,27.019
980,27.007
981,27.043
982,27.073
983,27.127
984,27.115
985,27.145
986,27.132
987,27.146
988,27.174
989,27.162
990,27.181
991,27.19
992,27.217
993,27.213
994,27.199
995,27.234
996,27.255
997,27.298
998,27.235
999,27.322
1000,27.276
1001,27.281
1002,27.329
1003,27.333
1004,27.328
1005,27.324
1006,27.344
1007,27.359
1008,27.356
1009,27.431
1010,27.387
1011,27.395
1012,27.416
1013,27.433
1014,27.428
1015,27.434
1016,27.451
1017,27.421
1018,27.458
1019,27.471
1020,27.497
1021,27.506
1022,27.495
1023,27.513
1024,27.576
1025,27.577
1026,27.592
1027,27.573
1028,27.634
1029,27.591
1030,27.662
1031,27.632
1032,27.613
1033,27.682
1034,27.678
1035,27.674
1036,27.723
1037,27.728
1038,27.734
1039,27.768
1040,27.781
1041,27.761
1042,27.816
1043,27.794
1044,27.812
1045,27.82
1046,27.864
1047,27.888
1048,27.841
1049,27.875
1050,27.909
1051,27.945
1052,27.913
1053,27.937
1054,27.947
1055,27.992
1056,27.964
1057,27.964
1058,27.958
1059,28.005
1060,28.025
1061,28.016
1062,28.057
1063,28.006
1064,28.033
1065,28.044
1066,28.087
1067,28.087
1068,28.088
1069,28.116
1070,28.118
1071,28.115
1072,28.149
1073,28.131
1074,28.161
1075,28.146
1076,28.166
1077,28.159
1078,28.178
1079,28.187
1080,28.17
1081,28.253
1082,28.253
1083,28.23
1084,28.238
1085,28.248
1086,28.276
1087,28.287
1088,28.29
1089,28.358
1090,28.355
1091,28.373
1092,28.37
1093,28.369
1094,28.461
1095,28.44
1096,28.47
1097,28.432
1098,28.461
1099,28.452
1100,28.522
1101,28.478
1102,28.48
1103,28.519
1104,28.565
1105,28.685
1106,28.555
1107,28.564
1108,28.559
1109,28.572
1110,28.57
1111,28.607
1112,28.636
1113,28.564
1114,28.612
1115,28.654
1116,28.659
1117,28.668
1118,28.697
1119,28.67
1120,28.691
1121,28.715
1122,28.706
1123,28.741
1124,28.783
1125,28.783
1126,28.772
1127,28.761
1128,28.785
1129,28.822
1130,28.785
1131,28.81
1132,28.839
1133,28.818
1134,28.8
1135,28.838
1136,28.889
1137,28.911
1138,28.9
1139,28.891
1140,28.912
1141,28.933
1142,28.98
1143,28.93
1144,28.971
1145,29.017
1146,29.009
1147,29.043
1148,28.987
1149,28.999
1150,29.012
1151,29.041
1152,29.011
1153,29.036
1154,29.051
1155,29.061
1156,29.053
1157,29.061
1158,29.095
1159,29.078
1160,29.105
1161,29.137
1162,29.166
1163,29.13
1164,29.137
1165,29.154
1166,29.123
1167,29.136
1168,29.176
1169,29.187
1170,29.194
1171,29.221
1172,29.223
1173,29.228
1174,29.283
1175,29.219
1176,29.242
1177,29.265
1178,29.272
1179,29.281
1180,29.29
1181,29.295
1182,29.541
1183,29.318
1184,29.309
1185,29.357
1186,29.346
1187,29.38
1188,29.403
1189,29.367
1190,29.395
1191,29.468
1192,29.501
1193,29.466
1194,29.515
1195,29.518
1196,29.545
1197,29.577
1198,29.568
1199,29.608
1200,29.606
1201,29.618
1202,29.614
1203,29.627
1204,29.621
1205,29.643
1206,29.647
1207,29.635
1208,29.632
1209,29.659
1210,29.68
1211,29.74
1212,29.74
1213,29.786
1214,29.754
1215,29.797
1216,29.743
1217,29.796
1218,29.754
1219,29.829
1220,29.854
1221,29.84
1222,29.838
1223,29.86
1224,29.864
1225,29.888
1226,29.905
1227,29.887
1228,29.926
1229,29.911
1230,29.958
1231,29.919
1232,29.971
1233,29.956
1234,29.977
1235,29.939
1236,29.994
1237,29.973
1238,29.992
1239,30.026
1240,30.016
1241,30.038
1242,30.199
1243,30.015
1244,30.08
1245,30.07
1246,30.076
1247,30.107
1248,30.097
1249,30.133
1250,30.161
1251,30.125
1252,30.174
1253,30.192
1254,30.214
1255,30.226
1256,30.171
1257,30.216
1258,30.258
1259,30.259
