N,runtime,cp_times
493,20.719,2191
494,20.714,2186
495,20.735,2183
496,20.791,2176
497,20.793,2175
498,20.783,2172
499,20.826,2171
500,20.81,2169
501,20.847,2166
502,20.876,2162
503,20.89,2160
504,20.907,2158
505,20.908,2158
506,20.951,2156
507,20.955,2153
508,20.991,2152
509,21.018,2147
510,21.024,2146
511,21.053,2142
512,21.023,2139
513,21.078,2134
514,21.057,2133
515,21.097,2129
516,21.13,2125
517,21.15,2124
518,21.16,2124
519,21.169,2124
520,21.188,2118
521,21.258,2112
522,21.227,2111
523,21.248,2110
524,21.278,2109
525,21.285,2104
526,21.282,2099
527,21.319,2099
528,21.321,2098
529,21.351,2098
530,21.364,2094
531,21.382,2093
532,21.396,2090
533,21.362,2087
534,21.381,2087
535,21.45,2086
536,21.433,2084
537,21.46,2081
538,21.44,2077
539,21.467,2077
540,21.471,2074
541,21.467,2073
542,21.555,2072
543,21.521,2068
544,21.557,2068
545,21.646,2063
546,21.699,2063
547,21.697,2063
548,21.727,2061
549,21.742,2055
550,21.754,2051
551,21.735,2049
552,21.844,2049
553,21.828,2047
554,21.848,2046
555,21.869,2044
556,21.865,2041
557,21.896,2039
558,21.908,2038
559,21.9,2037
560,21.922,2034
561,21.875,2035
562,21.892,2034
563,21.95,2030
564,21.928,2029
565,21.94,2027
566,21.973,2023
567,21.985,2023
568,21.987,2021
569,22.033,2020
570,22.043,2018
571,22.055,2016
572,22.021,2017
573,22.06,2017
574,22.073,2015
575,22.11,2015
576,22.11,2010
577,22.103,2011
578,22.121,2009
579,22.116,2009
580,22.164,2008
581,22.162,2007
582,22.167,2005
583,22.225,2004
584,22.217,2004
585,22.215,2002
586,22.233,2001
587,22.262,1998
588,22.275,1999
589,22.296,1996
590,22.313,1994
591,22.342,1997
592,22.317,1997
593,22.358,1993
594,22.377,1993
595,22.414,1990
596,22.368,1990
597,22.417,1989
598,22.452,1989
599,22.459,1986
600,22.438,1986
601,22.479,1986
602,22.47,1987
603,22.493,1986
604,22.499,1985
605,22.53,1985
606,22.537,1983
607,22.541,1984
608,22.55,1983
609,22.544,1983
610,22.551,1981
611,22.579,1981
612,22.583,1979
613,22.601,1978
614,22.621,1975
615,22.616,1975
616,22.618,1975
617,22.665,1972
618,22.628,1970
619,22.676,1970
620,22.697,1968
621,22.699,1965
622,22.699,1962
623,22.721,1962
624,22.715,1961
625,22.732,1960
626,22.786,1955
627,22.815,1955
628,22.81,1954
629,22.751,1952
630,22.774,1952
631,22.817,1951
632,22.844,1950
633,22.86,1949
634,22.867,1946
635,22.832,1946
636,22.93,1945
637,22.907,1942
638,22.891,1941
639,22.951,1939
640,22.957,1939
641,22.948,1939
642,22.997,1939
643,22.983,1939
644,23.004,1938
645,23.024,1938
646,23.021,1936
647,23.06,1936
648,23.051,1935
649,23.085,1935
650,23.078,1935
651,23.087,1934
652,23.095,1934
653,23.097,1933
654,23.085,1932
655,23.127,1932
656,23.119,1932
657,23.149,1930
658,23.121,1929
659,23.172,1929
660,23.238,1929
661,23.201,1929
662,23.256,1928
663,23.22,1927
664,23.238,1927
665,23.259,1926
666,23.279,1924
667,23.273,1923
668,23.29,1921
669,23.294,1921
670,23.308,1920
671,23.344,1919
672,23.323,1920
673,23.34,1919
674,23.374,1916
675,23.367,1916
676,23.355,1916
677,23.383,1916
678,23.434,1916
679,23.375,1917
680,23.421,1917
681,23.422,1916
682,23.428,1916
683,23.446,1915
684,23.479,1914
685,23.436,1913
686,23.462,1913
687,23.48,1912
688,23.492,1912
689,23.498,1912
690,23.557,1912
691,23.532,1912
692,23.536,1912
693,23.537,1912
694,23.561,1911
695,23.6,1911
696,23.602,1911
697,23.628,1910
698,23.626,1911
699,23.647,1911
700,23.626,1910
701,23.645,1910
702,23.663,1908
703,23.657,1907
704,23.687,1907
705,23.676,1905
706,23.673,1905
707,23.674,1906
708,23.751,1905
709,23.735,1906
710,23.758,1905
711,23.952,1905
712,23.8,1905
713,23.783,1905
714,23.8,1904
715,23.819,1904
716,23.85,1903
717,23.825,1903
718,23.835,1902
719,23.848,1902
720,23.871,1902
721,23.858,1901
722,23.87,1901
723,23.845,1901
724,23.926,1900
725,23.909,1899
726,23.957,1898
727,23.968,1897
728,23.963,1896
729,23.974,1895
730,23.996,1896
731,24.011,1895
732,24.046,1894
733,24.045,1894
734,24.058,1892
735,24.045,1892
736,24.058,1893
737,24.091,1891
738,24.084,1890
739,24.103,1889
740,24.109,1889
741,24.113,1888
742,24.127,1889
743,24.145,1886
744,24.162,1885
745,24.16,1885
746,24.155,1885
747,24.204,1882
748,24.223,1883
749,24.237,1883
750,24.25,1881
751,24.261,1880
752,24.25,1879
753,24.233,1878
754,24.266,1878
755,24.279,1877
756,24.279,1877
757,24.286,1877
758,24.309,1877
759,24.312,1877
760,24.315,1877
761,24.314,1877
762,24.315,1877
763,24.356,1877
764,24.367,1877
765,24.358,1877
766,24.382,1877
767,24.376,1877
768,24.347,1877
769,24.395,1877
770,24.408,1877
771,24.411,1877
772,24.434,1877
773,24.419,1876
774,24.463,1874
775,24.45,1874
776,24.483,1874
777,24.505,1874
778,24.508,1874
779,24.545,1873
780,24.542,1873
781,24.537,1873
782,24.565,1873
783,24.564,1873
784,24.583,1873
785,24.599,1872
786,24.617,1871
787,24.653,1871
788,24.625,1870
789,24.633,1869
790,24.642,1869
791,24.68,1868
792,24.658,1868
793,24.637,1868
794,24.673,1868
795,24.69,1868
796,24.697,1868
797,24.706,1868
798,24.714,1868
799,24.74,1868
800,24.755,1868
801,24.753,1868
802,24.804,1866
803,24.808,1866
804,24.859,1866
805,24.847,1866
806,24.883,1866
807,24.866,1866
808,24.86,1866
809,24.904,1866
810,24.896,1866
811,24.931,1864
812,24.923,1864
813,24.948,1864
814,24.955,1864
815,24.98,1863
816,24.955,1863
817,24.975,1863
818,24.988,1862
819,24.995,1862
820,24.979,1861
821,25.025,1860
822,25.011,1860
823,25.045,1860
824,25.054,1860
825,25.05,1860
826,25.086,1860
827,25.077,1859
828,25.095,1859
829,25.098,1859
830,25.133,1858
831,25.166,1858
832,25.152,1857
833,25.16,1857
834,25.147,1856
835,25.179,1855
836,25.176,1855
837,25.186,1854
838,25.208,1855
839,25.248,1854
840,25.254,1854
841,25.272,1854
842,25.265,1853
843,25.26,1853
844,25.294,1853
845,25.263,1853
846,25.293,1853
847,25.34,1852
848,25.357,1852
849,25.368,1852
850,25.41,1852
851,25.44,1852
852,25.428,1852
853,25.451,1852
854,25.502,1851
855,25.485,1851
856,25.475,1851
857,25.469,1851
858,25.478,1851
859,25.482,1851
860,25.525,1851
861,25.53,1851
862,25.523,1851
863,25.587,1851
864,25.581,1851
865,25.603,1851
866,25.612,1851
867,25.576,1851
868,25.605,1851
869,25.657,1851
870,25.63,1850
871,25.6,1850
872,25.661,1849
873,25.688,1849
874,25.667,1849
875,25.676,1849
876,25.711,1850
877,25.69,1850
878,25.694,1850
879,25.712,1850
880,25.723,1850
881,25.714,1850
882,25.734,1850
883,25.775,1850
884,25.796,1850
885,25.761,1850
886,25.775,1850
887,25.816,1850
888,25.84,1850
889,25.806,1850
890,25.847,1848
891,25.82,1848
892,25.866,1848
893,25.877,1848
894,25.872,1848
895,25.904,1848
896,25.924,1848
897,25.9,1848
898,25.913,1847
899,25.912,1847
900,25.935,1847
901,25.97,1847
902,25.986,1846
903,25.97,1846
904,25.988,1846
905,26.016,1846
906,26.034,1846
907,26.049,1846
908,26.18,1846
909,26.196,1846
910,26.196,1846
911,26.194,1846
912,26.194,1846
913,26.224,1846
914,26.239,1846
915,26.274,1846
916,26.287,1846
917,26.298,1846
918,26.308,1846
919,26.297,1846
920,26.327,1846
921,26.284,1846
922,26.323,1846
923,26.334,1846
924,26.378,1846
925,26.365,1846
926,26.336,1846
927,26.41,1846
928,26.391,1845
929,26.357,1845
930,26.372,1845
931,26.36,1845
932,26.446,1845
933,26.44,1845
934,26.436,1845
935,26.472,1845
936,26.479,1845
937,26.479,1845
938,26.496,1845
939,26.537,1845
940,26.514,1845
941,26.518,1845
